City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Toba Tek Singh,PK,2022-03-31 20:29:27,30.9743,72.4827,75.47,11,0,5.21
88,Ushuaia,AR,2022-03-31 20:25:24,-54.8,-68.3,53.26,47,20,13.8
89,Saldanha,ZA,2022-03-31 20:29:28,-33.0117,17.9442,60.85,77,2,22.95
90,Kidal,ML,2022-03-31 20:26:10,18.4411,1.4078,87.31,3,58,7.36
91,Keetmanshoop,NA,2022-03-31 20:26:19,-26.5833,18.1333,74.32,46,46,6.91
92,Sisimiut,GL,2022-03-31 20:29:29,66.9395,-53.6735,20.55,93,52,4.32
93,Aksay,RU,2022-03-31 20:30:29,47.26,39.87,61.25,49,63,11.99
94,Mumford,GH,2022-03-31 20:30:29,5.2618,-0.759,81.52,83,97,12.75
95,Nelson Bay,AU,2022-03-31 20:30:30,-32.7167,152.15,61.0,91,100,25.84
96,Rawson,AR,2022-03-31 20:30:30,-43.3002,-65.1023,68.43,27,90,2.66
97,Wanning,CN,2022-03-31 20:30:30,18.8003,110.3967,74.25,94,100,6.91
98,Kapaa,US,2022-03-31 20:30:31,22.0752,-159.319,78.78,85,40,14.97
99,Saskylakh,RU,2022-03-31 20:30:31,71.9167,114.0833,4.24,97,100,6.98
100,Haines Junction,CA,2022-03-31 20:30:31,60.7522,-137.5108,37.35,48,99,5.75
101,Chokurdakh,RU,2022-03-31 20:30:32,70.6333,147.9167,-31.13,100,99,3.76
102,Smithers,CA,2022-03-31 20:30:32,54.7804,-127.1743,44.92,33,75,12.66
103,Kenora,CA,2022-03-31 20:30:32,49.8167,-94.4337,34.77,44,20,8.99
104,Hegang,CN,2022-03-31 20:30:33,47.4,130.3667,26.19,63,21,8.95
105,Tautira,PF,2022-03-31 20:30:33,-17.7333,-149.15,81.19,70,45,10.76
106,Berlevag,NO,2022-03-31 20:30:33,70.8578,29.0864,26.55,74,100,18.41
107,Isangel,VU,2022-03-31 20:30:34,-19.55,169.2667,82.0,82,71,7.45
108,Ambilobe,MG,2022-03-31 20:30:34,-13.2,49.05,73.02,95,99,2.66
109,Akdepe,TM,2022-03-31 20:30:34,42.0551,59.3788,58.19,29,100,5.75
110,Deputatskiy,RU,2022-03-31 20:30:35,69.3,139.9,-19.93,100,42,4.03
111,Paris,FR,2022-03-31 20:28:02,48.8534,2.3488,40.08,75,100,23.02
112,Primorsk,UA,2022-03-31 20:30:35,46.7348,36.3443,46.15,86,100,14.34
113,Poum,NC,2022-03-31 20:30:35,-20.2333,164.0167,80.11,81,48,7.16
114,Tezu,IN,2022-03-31 20:30:36,27.9167,96.1667,67.46,94,100,1.99
115,Tandalti,SD,2022-03-31 20:30:36,13.0167,31.8667,85.17,16,10,12.3
116,Immokalee,US,2022-03-31 20:30:37,26.4187,-81.4173,87.94,57,10,17.38
117,Hithadhoo,MV,2022-03-31 20:30:37,-0.6,73.0833,82.24,73,5,7.25
118,Waingapu,ID,2022-03-31 20:30:37,-9.6567,120.2641,77.22,83,15,4.52
119,Luanda,AO,2022-03-31 20:30:38,-8.8368,13.2343,80.6,83,75,9.22
120,Kaeo,NZ,2022-03-31 20:30:38,-35.1,173.7833,62.33,97,94,1.74
121,College,US,2022-03-31 20:30:16,64.8569,-147.8028,24.22,31,40,14.97
122,Takoradi,GH,2022-03-31 20:30:38,4.8845,-1.7554,80.83,82,100,5.66
123,Lubao,PH,2022-03-31 20:30:39,14.9167,120.55,78.87,84,40,6.02
124,Muyezerskiy,RU,2022-03-31 20:30:39,63.9333,31.65,4.68,95,27,2.62
125,Coahuayana,MX,2022-03-31 20:30:39,18.7333,-103.6833,85.01,45,58,7.96
126,Cururupu,BR,2022-03-31 20:30:40,-1.8283,-44.8683,73.62,98,99,2.13
127,Longyearbyen,SJ,2022-03-31 20:30:40,78.2186,15.6401,8.44,78,75,11.5
128,Vaini,TO,2022-03-31 20:30:41,-21.2,-175.2,80.83,76,100,7.11
129,Mount Pleasant,US,2022-03-31 20:28:06,32.7941,-79.8626,71.1,94,75,21.85
130,Maniitsoq,GL,2022-03-31 20:29:53,65.4167,-52.9,29.28,83,38,5.88
131,Broome,US,2022-03-31 20:30:41,42.2506,-75.833,64.02,82,100,11.01
132,Vao,NC,2022-03-31 20:30:41,-22.6667,167.4833,78.8,85,0,12.06
133,Madang,PG,2022-03-31 20:30:42,-5.2246,145.7966,75.52,92,100,5.73
134,Touros,BR,2022-03-31 20:30:42,-5.1989,-35.4608,81.19,76,100,12.88
135,Tianpeng,CN,2022-03-31 20:30:42,30.9866,103.9393,50.47,92,100,5.66
136,Korla,CN,2022-03-31 20:26:50,41.7597,86.1469,47.57,43,2,1.66
137,Soure,BR,2022-03-31 20:30:43,-0.7167,-48.5233,73.06,92,100,5.35
138,Mount Gambier,AU,2022-03-31 20:30:43,-37.8333,140.7667,46.31,93,10,8.05
139,Nanortalik,GL,2022-03-31 20:30:44,60.1432,-45.2371,36.79,89,100,3.09
140,Borgarnes,IS,2022-03-31 20:30:44,64.5383,-21.9206,41.05,77,100,1.72
141,Yulara,AU,2022-03-31 20:30:44,-25.2406,130.9889,60.64,41,45,8.05
142,Namibe,AO,2022-03-31 20:31:45,-15.1961,12.1522,73.13,72,16,6.93
143,Gweta,BW,2022-03-31 20:31:45,-20.1833,25.2333,77.54,39,1,5.23
144,Kaitangata,NZ,2022-03-31 20:31:45,-46.2817,169.8464,49.59,63,100,3.02
145,Leningradskiy,RU,2022-03-31 20:31:46,69.3833,178.4167,-1.82,94,98,1.28
146,Vila Velha,BR,2022-03-31 20:31:46,-20.3297,-40.2925,84.15,80,20,12.66
147,Tuktoyaktuk,CA,2022-03-31 20:31:46,69.4541,-133.0374,-18.4,69,20,10.36
148,East London,ZA,2022-03-31 20:31:47,-33.0153,27.9116,67.51,94,100,0.98
149,Faanui,PF,2022-03-31 20:31:47,-16.4833,-151.75,82.42,67,13,13.38
150,Port Hardy,CA,2022-03-31 20:31:47,50.6996,-127.4199,46.58,76,75,8.05
151,Salisbury,GB,2022-03-31 20:31:48,51.0693,-1.7957,37.42,83,75,10.36
152,Luderitz,NA,2022-03-31 20:31:48,-26.6481,15.1594,62.74,70,0,17.65
153,Kirakira,SB,2022-03-31 20:31:48,-10.4544,161.9205,81.41,82,100,0.18
154,Wuda,CN,2022-03-31 20:31:49,39.4994,106.7117,41.59,27,19,5.73
155,Todos Santos,MX,2022-03-31 20:31:49,23.45,-110.2167,67.44,77,45,9.04
156,Westport,US,2022-03-31 20:27:32,41.1415,-73.3579,63.55,89,75,27.0
157,Moose Factory,CA,2022-03-31 20:31:50,51.2585,-80.6094,26.6,86,100,13.8
158,Bac Lieu,VN,2022-03-31 20:31:50,9.285,105.7244,81.5,75,100,2.66
159,Gushikawa,JP,2022-03-31 20:31:50,26.3544,127.8686,69.03,75,40,16.11
160,Vila Franca Do Campo,PT,2022-03-31 20:31:51,37.7167,-25.4333,63.01,90,81,4.7
161,Pacific Grove,US,2022-03-31 20:28:27,36.6177,-121.9166,65.21,77,0,9.22
162,Necochea,AR,2022-03-31 20:31:51,-38.5473,-58.7368,58.12,65,58,9.04
163,Mahebourg,MU,2022-03-31 20:31:51,-20.4081,57.7,79.25,73,20,13.8
164,Claveria,PH,2022-03-31 20:31:52,18.6074,121.0832,77.47,88,22,12.12
165,Airai,TL,2022-03-31 20:31:52,-8.9266,125.4092,56.68,78,2,2.35
166,Saint-Pierre,RE,2022-03-31 20:31:53,-21.3393,55.4781,76.91,77,75,13.8
167,Karratha,AU,2022-03-31 20:31:53,-20.7377,116.8463,84.04,71,67,8.68
168,Martapura,ID,2022-03-31 20:31:53,-3.4167,114.85,77.09,100,75,0.0
169,Mecca,SA,2022-03-31 20:31:54,21.4267,39.8261,79.93,37,0,5.91
170,Antalaha,MG,2022-03-31 20:31:54,-14.9003,50.2788,73.98,91,100,6.38
171,Asau,RO,2022-03-31 20:31:54,46.4333,26.4,56.32,65,100,4.92
172,Siedlce,PL,2022-03-31 20:30:53,52.1677,22.2901,36.52,57,100,17.07
173,Bethel,US,2022-03-31 20:31:55,41.3712,-73.414,65.25,78,75,9.22
174,Ribeira Grande,PT,2022-03-31 20:31:55,38.5167,-28.7,63.0,88,20,16.11
175,Iqaluit,CA,2022-03-31 20:30:01,63.7506,-68.5145,28.13,92,100,12.66
176,Ust-Nera,RU,2022-03-31 20:31:56,64.5667,143.2,-13.52,99,88,1.41
177,Reconquista,AR,2022-03-31 20:30:12,-29.15,-59.65,63.14,46,0,7.29
178,New Norfolk,AU,2022-03-31 20:31:56,-42.7826,147.0587,53.1,72,100,1.72
179,Olafsvik,IS,2022-03-31 20:31:57,64.8945,-23.7142,39.52,83,100,6.42
180,Beringovskiy,RU,2022-03-31 20:31:57,63.05,179.3167,7.0,93,100,21.97
181,Severo-Kurilsk,RU,2022-03-31 20:31:57,50.6789,156.125,28.78,81,81,15.12
182,Gizo,SB,2022-03-31 20:31:58,-8.103,156.8419,83.95,73,94,8.48
183,Yaan,NG,2022-03-31 20:31:58,7.3833,8.5667,91.65,28,49,5.06
184,Pevek,RU,2022-03-31 20:31:58,69.7008,170.3133,-19.89,97,22,5.19
185,Loiza,PR,2022-03-31 20:31:59,18.4313,-65.8802,84.81,73,40,21.85
186,Atuona,PF,2022-03-31 20:31:59,-9.8,-139.0333,78.66,74,7,7.72
187,Komsomolskiy,UZ,2022-03-31 20:31:59,40.4272,71.7189,52.52,66,4,6.91
188,Alugan,PH,2022-03-31 20:33:00,12.2188,125.4808,79.68,83,100,9.04
189,Ziyang,CN,2022-03-31 20:33:00,29.2497,117.8547,50.47,95,100,2.75
190,Hualmay,PE,2022-03-31 20:33:00,-11.0964,-77.6139,73.58,75,23,10.69
191,San Patricio,US,2022-03-31 20:33:01,28.017,-97.5169,85.15,26,3,4.65
192,Port Macquarie,AU,2022-03-31 20:33:01,-31.4333,152.9167,61.9,84,96,16.17
193,Ilulissat,GL,2022-03-31 20:33:02,69.2167,-51.1,17.62,93,75,1.14
194,Shakawe,BW,2022-03-31 20:33:02,-18.3667,21.85,73.38,65,100,3.89
195,Denpasar,ID,2022-03-31 20:29:28,-8.65,115.2167,80.26,88,75,4.61
196,Saravan,AM,2022-03-31 20:33:03,39.7196,45.6483,33.28,67,0,7.34
